PopCode,Area,Year,Week,Sex,Age,AgeInterval,Deaths,Type,Access
USA,1,2015,31,b,65,10,8900,O,O
USA,1,2015,31,b,75,10,11333,O,O
USA,1,2015,31,b,85,+,14819,O,O
USA,1,2015,31,b,TOT,.,48673,O,O
USA,1,2015,32,b,0,25,1311,O,O
USA,1,2015,32,b,25,20,2458,O,O
USA,1,2015,32,b,45,20,9919,O,O
USA,1,2015,32,b,65,10,8868,O,O
USA,1,2015,32,b,75,10,11104,O,O
USA,1,2015,32,b,85,+,14619,O,O
USA,1,2015,32,b,TOT,.,48279,O,O
USA,1,2015,33,b,0,25,1248,O,O
USA,1,2015,33,b,25,20,2446,O,O
USA,1,2015,33,b,45,20,9805,O,O
USA,1,2015,33,b,65,10,8783,O,O
USA,1,2015,33,b,75,10,11098,O,O
USA,1,2015,33,b,85,+,14706,O,O
USA,1,2015,33,b,TOT,.,48086,O,O
USA,1,2015,34,b,0,25,1288,O,O
USA,1,2015,34,b,25,20,2381,O,O
USA,1,2015,34,b,45,20,9920,O,O
USA,1,2015,34,b,65,10,9026,O,O
USA,1,2015,34,b,75,10,11405,O,O
USA,1,2015,34,b,85,+,14526,O,O
USA,1,2015,34,b,TOT,.,48546,O,O
USA,1,2015,35,b,0,25,1233,O,O
USA,1,2015,35,b,25,20,2455,O,O
USA,1,2015,35,b,45,20,9821,O,O
USA,1,2015,35,b,65,10,8967,O,O
USA,1,2015,35,b,75,10,11239,O,O
USA,1,2015,35,b,85,+,14900,O,O
USA,1,2015,35,b,TOT,.,48615,O,O
USA,1,2015,36,b,0,25,1208,O,O
USA,1,2015,36,b,25,20,2596,O,O
USA,1,2015,36,b,45,20,9994,O,O
USA,1,2015,36,b,65,10,9002,O,O
USA,1,2015,36,b,75,10,11172,O,O
USA,1,2015,36,b,85,+,14845,O,O
USA,1,2015,36,b,TOT,.,48817,O,O
USA,1,2015,37,b,0,25,1240,O,O
USA,1,2015,37,b,25,20,2468,O,O
USA,1,2015,37,b,45,20,9815,O,O
USA,1,2015,37,b,65,10,9136,O,O
USA,1,2015,37,b,75,10,11322,O,O
USA,1,2015,37,b,85,+,14904,O,O
USA,1,2015,37,b,TOT,.,48885,O,O
USA,1,2015,38,b,0,25,1139,O,O
USA,1,2015,38,b,25,20,2392,O,O
USA,1,2015,38,b,45,20,9884,O,O
USA,1,2015,38,b,65,10,9274,O,O
USA,1,2015,38,b,75,10,11220,O,O
USA,1,2015,38,b,85,+,15026,O,O
USA,1,2015,38,b,TOT,.,48935,O,O
USA,1,2015,39,b,0,25,1264,O,O
USA,1,2015,39,b,25,20,2395,O,O
USA,1,2015,39,b,45,20,9878,O,O
USA,1,2015,39,b,65,10,9119,O,O
USA,1,2015,39,b,75,10,11392,O,O
USA,1,2015,39,b,85,+,15281,O,O
USA,1,2015,39,b,TOT,.,49329,O,O
USA,1,2015,40,b,0,25,1126,O,O
USA,1,2015,40,b,25,20,2390,O,O
USA,1,2015,40,b,45,20,9861,O,O
USA,1,2015,40,b,65,10,9133,O,O
USA,1,2015,40,b,75,10,11506,O,O
USA,1,2015,40,b,85,+,14900,O,O
USA,1,2015,40,b,TOT,.,48916,O,O
USA,1,2015,41,b,0,25,1228,O,O
USA,1,2015,41,b,25,20,2508,O,O
USA,1,2015,41,b,45,20,10210,O,O
USA,1,2015,41,b,65,10,9544,O,O
USA,1,2015,41,b,75,10,12043,O,O
USA,1,2015,41,b,85,+,15515,O,O
USA,1,2015,41,b,TOT,.,51048,O,O
USA,1,2015,42,b,0,25,1225,O,O
USA,1,2015,42,b,25,20,2460,O,O
